Possession_Status,new_or_resale,furnishing,bathrooms,price,location,date_of_posting,facing,overlooking,area,BHK,config,flat_floor_no.,total_floors,no_of_parking,parking_type,longitude,latitude
not received,New Property,Semi-Furnished,2.0,0.62,Ketki Pada,"Jan 29, '21",North - East,other,410.0,1,apartment,10,34,1,Open,,
not received,New Property,Unfurnished,2.0,0.54,Mira Road East,"Jan 30, '21",East,other,470.0,1,apartment,11,23,1,Open,,
not received,New Property,Unfurnished,2.0,1.51,Kandarpada,"Jan 30, '21",North - East,other,734.0,2,apartment,7,20,1,Covered,,
not received,New Property,Unfurnished,2.0,0.71,Mira Road East,"Jan 29, '21",West,main road,504.0,2,apartment,4,4,0,Open,,
not received,New Property,Unfurnished,2.0,1.16,Akurli Nagar,"Jan 31, '21",East,main road,448.0,1,apartment,20,50,1,Covered,,
not received,New Property,Semi-Furnished,2.0,0.75,Beverly Park,"Jan 29, '21",East,other,650.0,2,apartment,5,8,1,Open,,
not received,New Property,Unfurnished,2.0,1.42,Tilak Nagar - Harbour Line,"Jan 31, '21",East,other,664.0,2,apartment,10,15,1,both,,
not received,New Property,Unfurnished,2.0,0.61,Beverly Park,"Jan 30, '21",North - East,other,450.0,1,apartment,8,12,1,both,,
not received,New Property,Semi-Furnished,2.0,0.51,Vinay Nagar,"Jan 29, '21",East,other,440.0,1,apartment,11,22,1,Open,,
not received,New Property,Unfurnished,3.0,1.25,Vinay Nagar,"Jan 30, '21",North - East,other,900.0,3,apartment,19,34,0,Open,,
not received,New Property,Unfurnished,2.0,0.75,Mira Road East,"Jan 29, '21",East,other,650.0,2,apartment,9,14,0,Open,,
not received,New Property,Unfurnished,2.0,0.63,Vinay Nagar,"Jan 29, '21",East,other,525.0,1,apartment,10,16,0,Open,,
not received,New Property,Semi-Furnished,2.0,0.5,Mira Road East,"Jan 30, '21",North - East,other,450.0,1,apartment,3,12,1,Open,,
not received,New Property,Semi-Furnished,2.0,0.55,Vinay Nagar,"Jan 31, '21",East,other,455.0,1,apartment,18,33,1,both,,
not received,New Property,Unfurnished,2.0,0.79,Akurli Nagar,"Jan 30, '21",East,other,395.0,1,apartment,18,27,1,Covered,,
not received,New Property,Semi-Furnished,2.0,0.81,Mira Road East,"Jan 30, '21",East,other,655.0,2,apartment,10,20,1,Open,,
not received,New Property,Unfurnished,2.0,1.35,Kandarpada,"Jan 30, '21",North - East,other,753.0,2,apartment,10,20,1,Covered,,
not received,New Property,Unfurnished,2.0,0.59,Mira Road East,"Jan 30, '21",North - East,other,502.0,1,apartment,11,22,1,Open,,
not received,New Property,Furnished,1.0,0.55,Ganesh Nagar JJC Area,"Jan 29, '21",East,main road,322.0,1,apartment,25,42,1,Open,,
not received,New Property,Unfurnished,2.0,0.54,Vinay Nagar,"Jan 30, '21",North - East,other,424.0,1,apartment,7,22,1,Open,,
not received,New Property,Unfurnished,2.0,0.78,Vinay Nagar,"Jan 31, '21",North,other,590.0,2,apartment,2,23,1,Open,,
not received,New Property,Unfurnished,2.0,1.45,Crompton Greaves,"Jan 31, '21",None,other,650.0,2,other,4,6,1,Covered,,
